FIPS Code,State and area,Year,Month,Population,Civilian labor force,Percent Labour Force,Employed,Employment Rate,Unemployed,Unemployment Rate,state,code,fips,day,month_
46,South Dakota,2020.0,11.0,681954.0,454960.0,66.7,439767.0,64.5,15193.0,3.3,South Dakota,SD,46.0,1,2020-11
47,Tennessee,2020.0,11.0,5459887.0,3330759.0,61.0,3159432.0,57.9,171327.0,5.1,Tennessee,TN,47.0,1,2020-11
48,Texas,2020.0,11.0,22418959.0,14050100.0,62.7,13076638.0,58.3,973462.0,6.9,Texas,TX,48.0,1,2020-11
49,Utah,2020.0,11.0,2418202.0,1643253.0,68.0,1591263.0,65.8,51990.0,3.2,Utah,UT,49.0,1,2020-11
50,Vermont,2020.0,11.0,518950.0,316915.0,61.1,306647.0,59.1,10268.0,3.2,Vermont,VT,50.0,1,2020-11
51,Virginia,2020.0,11.0,6735886.0,4258549.0,63.2,4025109.0,59.8,233440.0,5.5,Virginia,VA,51.0,1,2020-11
53,Washington,2020.0,11.0,6125522.0,3857075.0,63.0,3607396.0,58.9,249679.0,6.5,Washington,WA,53.0,1,2020-11
54,West Virginia,2020.0,11.0,1441277.0,792065.0,55.0,740460.0,51.4,51605.0,6.5,West Virginia,WV,54.0,1,2020-11
55,Wisconsin,2020.0,11.0,4661965.0,3059093.0,65.6,2933495.0,62.9,125598.0,4.1,Wisconsin,WI,55.0,1,2020-11
56,Wyoming,2020.0,11.0,455610.0,294827.0,64.7,280589.0,61.6,14238.0,4.8,Wyoming,WY,56.0,1,2020-11
